Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
IN,,"Fort William, Kolkata - WBPCB","22.55664, 88.342674",CO,caaqm,µg/m³,540.0,2022-10-31T07:15:00+05:30,India
IN,,"Hebbal, Bengaluru - KSPCB","13.029151999999998, 77.58590100000002",NO2,caaqm,µg/m³,26.5,2022-10-31T07:30:00+05:30,India
IN,,"SFTI Kusdihra, Gaya - BSPCB","24.762518, 84.982348",PM10,caaqm,µg/m³,42.17,2022-10-16T21:00:00+05:30,India
IN,,"Bandra, Mumbai - MPCB","19.0627, 72.84614",PM10,caaqm,µg/m³,104.3,2021-12-24T10:15:00+05:30,India
IN,,"Ibrahimpur, Vijayapura - KSPCB","16.802639, 75.722694",CO,caaqm,µg/m³,390.0,2022-10-16T21:30:00+05:30,India
IN,,"Urban, Chamarajanagar - KSPCB","11.553579999999998, 76.55521",CO,caaqm,µg/m³,300.0,2022-10-31T07:30:00+05:30,India
IN,,"Bawana, Delhi - DPCC","28.7762, 77.051074",PM10,caaqm,µg/m³,493.0,2022-10-31T06:15:00+05:30,India
IN,,"Sonia Vihar, Delhi - DPCC","28.710508, 77.249485",PM2.5,caaqm,µg/m³,310.0,2022-10-31T06:15:00+05:30,India
IN,,"Vyttila, Kochi - Kerala PCB","9.969447, 76.321186",PM10,caaqm,µg/m³,69.75,2022-10-16T21:30:00+05:30,India
IN,,"Sri Aurobindo Marg, Delhi - DPCC","28.531345999999996, 77.190156",O3,caaqm,µg/m³,6.1,2022-10-31T06:15:00+05:30,India
IN,,"Rajbansi Nagar, Patna - BSPCB","25.599486, 85.11366599999998",NO2,caaqm,µg/m³,63.11,2022-10-16T21:15:00+05:30,India
IN,,"Sector-51, Gurugram - HSPCB","28.422699999999995, 77.06669999999998",O3,caaqm,µg/m³,36.33,2022-10-16T21:30:00+05:30,India
IN,,"ICRISAT Patancheru, Hyderabad - TSPCB","17.5184, 78.278777",NO2,caaqm,µg/m³,23.3,2022-10-31T07:15:00+05:30,India
IN,,"Palayam, Kozhikode - Kerala PCB","11.249077, 75.78437099999998",PM2.5,caaqm,µg/m³,50.0,2022-10-16T10:15:00+05:30,India
IN,,"Ballygunge, Kolkata - WBPCB","22.5367507, 88.3638022",NO2,caaqm,µg/m³,24.6,2022-10-16T21:30:00+05:30,India
IN,,"Royapuram, Chennai - TNPCB","13.1036, 80.29089999999998",PM2.5,caaqm,µg/m³,2.0,2022-10-16T21:30:00+05:30,India
IN,,"Kunjaban, Agartala - Tripura SPCB","23.8628276, 91.2887362",NO2,caaqm,µg/m³,16.95,2022-10-16T21:30:00+05:30,India
IN,,"Bandra Kurla Complex, Mumbai - IITM","19.053536000000005, 72.84643",CO,caaqm,µg/m³,4230.0,2022-10-16T21:15:00+05:30,India
IN,,"Bhosari, Pune - IITM","18.640051, 73.848956",PM2.5,caaqm,µg/m³,17.48,2022-07-07T10:15:00+05:30,India
IN,,"Chakala-Andheri East, Mumbai - IITM","19.110739999999996, 72.86084",CO,caaqm,µg/m³,1000.0,2022-10-16T18:30:00+05:30,India
IN,,"Khindipada-Bhandup West, Mumbai - IITM","19.1653323, 72.922099",PM10,caaqm,µg/m³,11.81,2022-09-22T11:00:00+05:30,India
IN,,"Alandi, Pune - IITM","18.675076, 73.892743",NO2,caaqm,µg/m³,11.72,2022-07-21T10:15:00+05:30,India
IN,,"Tamaka Ind. Area, Kolar - KSPCB","13.1276288, 78.1570122",CO,caaqm,µg/m³,4040.0,2021-10-22T16:15:00+05:30,India
IN,,"B.Katihalli, Hassan - KSPCB","13.008556, 76.12525800000002",SO2,caaqm,µg/m³,14.57,2022-10-16T21:15:00+05:30,India
IN,,"Jhunsi, Prayagraj - UPPCB","25.425602, 81.917152",PM2.5,caaqm,µg/m³,107.67,2022-10-16T21:30:00+05:30,India
IN,,"Motilal Nehru NIT, Prayagraj - UPPCB","25.494, 81.863",NO2,caaqm,µg/m³,30.3,2022-10-31T07:30:00+05:30,India
IN,,"Manoharpur, Agra - UPPCB","27.23711, 78.01936",SO2,caaqm,µg/m³,18.63,2022-10-31T07:30:00+05:30,India
IN,,"Chandkheda, Ahmedabad - IITM","23.107969, 72.57464800000001",NO2,caaqm,µg/m³,4.84,2022-10-16T21:15:00+05:30,India
IN,,"Shastripuram, Agra - UPPCB","27.198620000000002, 77.92066",SO2,caaqm,µg/m³,17.35,2022-10-16T21:30:00+05:30,India
IN,,"Kamalnath Nagar, Bettiah - BSPCB","26.80365, 84.51954",O3,caaqm,µg/m³,36.8,2022-10-16T21:15:00+05:30,India
IN,,"Gandak Colony, Motihari - BSPCB","26.630859999999995, 84.90051",NO2,caaqm,µg/m³,32.2,2022-10-16T21:15:00+05:30,India
IN,,"Nagar Nigam, Prayagraj - UPPCB","25.449199160000003, 81.82735986",PM2.5,caaqm,µg/m³,135.04,2022-10-31T07:30:00+05:30,India
IN,,"Mangala, Bilaspur - NTPC","22.08815, 82.13737",NO2,caaqm,µg/m³,9.22,2022-10-31T07:30:00+05:30,India
IN,,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","25.251013, 86.98900100000002",SO2,caaqm,µg/m³,12.3,2022-10-31T07:15:00+05:30,India
IN,,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","25.251013, 86.98900100000002",O3,caaqm,µg/m³,25.0,2022-10-31T07:15:00+05:30,India
IN,,"Police Line, Saharsa - BSPCB","25.892357, 86.590325",CO,caaqm,µg/m³,0.0,2022-10-16T20:15:00+05:30,India
IN,,"Jigar Colony, Moradabad - UPPCB","28.856664, 78.77263800000001",NO2,caaqm,µg/m³,8.08,2022-10-31T07:30:00+05:30,India
IN,,"Shivaji Nagar, Jhansi - UPPCB","25.4547, 78.6039",NO2,caaqm,µg/m³,26.36,2022-10-31T07:30:00+05:30,India
IN,,"HIMUDA Complex Phase-1, Baddi - HPPCB","30.943887, 76.801991",PM10,caaqm,µg/m³,68.0,2022-10-31T07:15:00+05:30,India
IN,,"Manipur University, Imphal - Manipur PCB","24.7524239, 93.92862179999999",SO2,caaqm,µg/m³,49.11,2022-10-15T15:15:00+05:30,India
IN,,"Doon University, Dehradun - UKPCB","30.269443999999996, 78.044167",PM10,caaqm,µg/m³,0.0,2022-10-16T21:15:00+05:30,India
IN,,"Somajiguda, Hyderabad - TSPCB","17.417093999999995, 78.45743700000001",O3,caaqm,µg/m³,18.88,2022-10-16T21:30:00+05:30,India
IN,,"Mandir Marg, Delhi - DPCC","28.6341, 77.2005",CO,CPCB,µg/m³,7500.0,2018-02-21T22:15:00+05:30,India
IN,,"Lalbagh, DN Park","26.84578611, 80.93874444",PM2.5,CPCB,µg/m³,224.64,2018-02-22T09:30:00+05:30,India
IN,,"Lalbagh, DN Park","26.84578611, 80.93874444",NO2,CPCB,µg/m³,109.32,2018-02-22T09:30:00+05:30,India
IN,,"IHBAS, Delhi - CPCB","28.6821, 77.305",SO2,CPCB,µg/m³,6.42,2018-02-22T08:15:00+05:30,India
IN,,"Haldia, Haldia - WBPCB","22.06047, 88.109737",PM2.5,caaqm,µg/m³,24.39,2022-10-31T07:30:00+05:30,India
IN,,City Railway Station - KSPCB,"12.9773472, 77.5706972222222",CO,CPCB,µg/m³,1510.0,2018-02-22T08:30:00+05:30,India
IN,,"Sector-6, Panchkula - HSPCB","30.7057778, 76.8531805555555",CO,caaqm,µg/m³,640.0,2022-10-31T07:15:00+05:30,India
IN,,"BWSSB Kadabesanahalli, Bengaluru - KSPCB","12.93890556, 77.69727222",CO,CPCB,µg/m³,840.0,2018-02-22T08:30:00+05:30,India
IN,,"Sanathnagar, Hyderabad - TSPCB","17.42329722, 78.47469722",SO2,CPCB,µg/m³,8.4,2018-02-22T08:30:00+05:30,India
IN,,"Anand Vihar, Delhi - DPCC","28.647622000000002, 77.315809",O3,caaqm,µg/m³,7.6,2022-10-31T06:00:00+05:30,India
IN,,"Punjab Agricultural University, Ludhiana - PPCB","30.902800000000003, 75.8086",O3,caaqm,µg/m³,8.71,2022-10-31T07:30:00+05:30,India
IN,,"Collectorate, Jodhpur - RSPCB","26.268249, 73.0193853",PM10,caaqm,µg/m³,250.7,2022-10-31T07:15:00+05:30,India
IN,,"Bollaram Industrial Area, Hyderabad - TSPCB","17.540891, 78.35852799999999",NO2,caaqm,µg/m³,29.4,2022-10-31T07:30:00+05:30,India
IN,,"Shastri Nagar, Jaipur - RSPCB","26.950292899999997, 75.73094300000001",CO,caaqm,µg/m³,30.0,2022-10-31T07:15:00+05:30,India
IN,,"Suryakiran Bhawan NCL, Singrauli - MPPCB","24.10897, 82.64558",NO2,caaqm,µg/m³,75.5,2022-10-16T21:30:00+05:30,India
IN,,"NSIT Dwarka, Delhi - CPCB","28.60909, 77.0325413",SO2,caaqm,µg/m³,2.0,2022-10-31T07:30:00+05:30,India
IN,,"CRRI Mathura Road, Delhi - IMD","28.5512005, 77.2735737",O3,caaqm,µg/m³,28.31,2022-10-31T06:45:00+05:30,India
IN,,"GVM Corporation, Visakhapatnam - APPCB","17.72, 83.3",O3,caaqm,µg/m³,15.8,2022-10-31T07:30:00+05:30,India
IN,,"Maninagar, Ahmedabad - GPCB","23.002657, 72.591912",O3,caaqm,µg/m³,0.64,2022-10-31T07:15:00+05:30,India
IN,,"Shrinath Puram, Kota - RSPCB","25.14389, 75.821256",NO2,caaqm,µg/m³,9.54,2022-10-31T07:30:00+05:30,India
IN,,"Sanegurava Halli, Bengaluru - KSPCB","12.990328, 77.5431385",SO2,caaqm,µg/m³,5.22,2022-10-31T07:30:00+05:30,India
IN,,"Ward-32 Bapupara, Siliguri - WBPCB","26.6883049, 88.412668",O3,caaqm,µg/m³,24.91,2022-10-31T07:15:00+05:30,India
IN,,"Central School, Lucknow - CPCB","26.8821003, 80.9302753",PM2.5,caaqm,µg/m³,111.9,2022-10-31T07:15:00+05:30,India
IN,,"Patparganj, Delhi - DPCC","28.6310495, 77.2846218",PM2.5,caaqm,µg/m³,67.0,2018-05-13T17:00:00+05:30,India
IN,,"Vivek Vihar, Delhi - DPCC","28.6687803, 77.3130982",O3,caaqm,µg/m³,181.1,2018-05-10T14:30:00+05:30,India
