country_code,location,pollutant,source_name,unit,value,last_updated,country_label,latitude,longitude
IN,"jawaharlal nehru stadium, delhi - dpcc",no2,caaqm,µg/m³,23.4,2018-05-10 15:00:00+05:30,india,28.5828503,77.2321778
IN,"dwarka-sector 8, delhi - dpcc",o3,caaqm,µg/m³,187.9,2018-05-12 10:30:00+05:30,india,28.5206826,76.8023871
IN,"jahangirpuri, delhi - dpcc",pm2.5,caaqm,µg/m³,127.0,2018-05-12 12:00:00+05:30,india,28.7258373,77.1605631
IN,"punjabi bagh, delhi - dpcc",no2,caaqm,µg/m³,54.7,2022-10-16 19:45:00+05:30,india,28.674045000000003,77.13102300000001
IN,"bandhavgar colony, satna - birla cement",no2,caaqm,µg/m³,12.21,2022-10-31 07:30:00+05:30,india,24.584343630000003,80.85494140000002
IN,"gobind pura, yamuna nagar - hspcb",o3,caaqm,µg/m³,1.74,2022-10-31 07:00:00+05:30,india,30.1480566,77.2893471
IN,"urban estate-ii, hisar - hspcb",o3,caaqm,µg/m³,82.7,2022-10-31 07:15:00+05:30,india,29.140559999999997,75.744941
IN,"kalal majra, khanna - ppcb",so2,caaqm,µg/m³,7.95,2022-10-31 06:30:00+05:30,india,30.736056,76.209694
IN,"sector-2 imt, manesar - hspcb",pm10,caaqm,µg/m³,345.9,2022-10-31 07:15:00+05:30,india,28.360699,76.93609
IN,"powai, mumbai - mpcb",pm2.5,caaqm,µg/m³,28.0,2022-10-16 18:45:00+05:30,india,19.1375,72.915056
IN,"sector-18, panipat - hspcb",co,caaqm,µg/m³,2060.0,2022-10-31 07:15:00+05:30,india,29.497973,76.993331
IN,"sector-18, panipat - hspcb",pm2.5,caaqm,µg/m³,89.5,2022-10-31 07:15:00+05:30,india,29.497973,76.993331
IN,"patti mehar, ambala - hspcb",no2,caaqm,µg/m³,2.71,2022-10-31 07:15:00+05:30,india,30.379589,76.778328
IN,"patti mehar, ambala - hspcb",so2,caaqm,µg/m³,4.72,2022-10-31 07:15:00+05:30,india,30.379589,76.778328
IN,"patti mehar, ambala - hspcb",pm2.5,caaqm,µg/m³,115.58,2022-10-31 07:15:00+05:30,india,30.379589,76.778328
IN,"jai bhim nagar, meerut - uppcb",co,caaqm,µg/m³,1290.0,2022-10-31 07:30:00+05:30,india,28.953588200000002,77.7622941
IN,"sector-1, noida - uppcb",co,caaqm,µg/m³,8970.0,2022-10-13 11:45:00+05:30,india,28.589800000000004,77.3101
IN,"fort william, kolkata - wbpcb",co,caaqm,µg/m³,540.0,2022-10-31 07:15:00+05:30,india,22.55664,88.342674
IN,"hebbal, bengaluru - kspcb",no2,caaqm,µg/m³,26.5,2022-10-31 07:30:00+05:30,india,13.029151999999998,77.58590100000002
IN,"sfti kusdihra, gaya - bspcb",pm10,caaqm,µg/m³,42.17,2022-10-16 21:00:00+05:30,india,24.762518,84.982348
IN,"bandra, mumbai - mpcb",pm10,caaqm,µg/m³,104.3,2021-12-24 10:15:00+05:30,india,19.0627,72.84614
IN,"ibrahimpur, vijayapura - kspcb",co,caaqm,µg/m³,390.0,2022-10-16 21:30:00+05:30,india,16.802639,75.722694
IN,"urban, chamarajanagar - kspcb",co,caaqm,µg/m³,300.0,2022-10-31 07:30:00+05:30,india,11.553579999999998,76.55521
IN,"bawana, delhi - dpcc",pm10,caaqm,µg/m³,493.0,2022-10-31 06:15:00+05:30,india,28.7762,77.051074
IN,"sonia vihar, delhi - dpcc",pm2.5,caaqm,µg/m³,310.0,2022-10-31 06:15:00+05:30,india,28.710508,77.249485
IN,"vyttila, kochi - kerala pcb",pm10,caaqm,µg/m³,69.75,2022-10-16 21:30:00+05:30,india,9.969447,76.321186
IN,"sri aurobindo marg, delhi - dpcc",o3,caaqm,µg/m³,6.1,2022-10-31 06:15:00+05:30,india,28.531345999999996,77.190156
