country_code,location,pollutant,source_name,unit,value,last_updated,country_label,latitude,longitude,date,year,month,hour,weekday,is_weekend
IN,"bawana, delhi - dpcc",co,caaqm,µg/m³,1300.0,2022-10-31 06:15:00+05:30,india,28.7762,77.051074,2022-10-31,2022,10,6,Monday,False
IN,"sri aurobindo marg, delhi - dpcc",pm10,caaqm,µg/m³,309.0,2022-10-31 06:15:00+05:30,india,28.531346,77.190156,2022-10-31,2022,10,6,Monday,False
IN,"vidayagiri, bagalkot - kspcb",so2,caaqm,µg/m³,2.52,2022-10-16 21:15:00+05:30,india,16.172806000000005,75.659694,2022-10-16,2022,10,21,Sunday,True
IN,"civil lines,  ajmer - rspcb",so2,caaqm,µg/m³,9.62,2022-10-31 07:15:00+05:30,india,26.470859,74.646594,2022-10-31,2022,10,7,Monday,False
IN,"govt. high school shikarpur, patna - bspcb",pm10,caaqm,µg/m³,140.0,2022-10-16 21:15:00+05:30,india,25.592539,85.22715800000002,2022-10-16,2022,10,21,Sunday,True
IN,"industrial area, hajipur - bspcb",o3,caaqm,µg/m³,8.67,2022-10-16 21:30:00+05:30,india,25.697189000000005,85.2459,2022-10-16,2022,10,21,Sunday,True
IN,"muradpur, patna - bspcb",pm2.5,caaqm,µg/m³,25.2,2022-10-16 21:15:00+05:30,india,25.619651,85.147382,2022-10-16,2022,10,21,Sunday,True
IN,"mini secretariat, charkhi dadri - hspcb",pm10,caaqm,µg/m³,187.1,2022-10-16 21:30:00+05:30,india,28.593883,76.270653,2022-10-16,2022,10,21,Sunday,True
IN,"kalyana nagara, chikkamagaluru - kspcb",co,caaqm,µg/m³,280.0,2022-10-16 21:30:00+05:30,india,13.328028000000002,75.797056,2022-10-16,2022,10,21,Sunday,True
IN,"rabindra sarobar, kolkata - wbpcb",pm2.5,caaqm,µg/m³,46.5,2022-10-31 07:15:00+05:30,india,22.51106,88.35142,2022-10-31,2022,10,7,Monday,False
IN,"sector-12, karnal - hspcb",o3,caaqm,µg/m³,4.73,2022-10-31 07:00:00+05:30,india,29.6953,77.0027,2022-10-31,2022,10,7,Monday,False
IN,"phool bagh, gwalior - mondelez ind. food",so2,caaqm,µg/m³,23.82,2022-09-15 03:30:00+05:30,india,26.210536,78.171,2022-09-15,2022,9,3,Thursday,False
IN,"sanjay nagar, ghaziabad - uppcb",co,caaqm,µg/m³,2640.0,2022-10-31 07:30:00+05:30,india,28.685382,77.453839,2022-10-31,2022,10,7,Monday,False
IN,"nise gwal pahari, gurugram - imd",no2,caaqm,µg/m³,28.72,2022-10-14 21:45:00+05:30,india,28.422681,77.148944,2022-10-14,2022,10,21,Friday,False
IN,"vinoba nagara, shivamogga - kspcb",pm2.5,caaqm,µg/m³,25.67,2022-10-16 21:30:00+05:30,india,13.94,75.55591700000001,2022-10-16,2022,10,21,Sunday,True
